Date,Open,High,Low,Close,Volume,Range,Return_%,Q1,Q4,NR2,RangoTotal,PctAboveNR2,PctBelowNR2,SkewMayor,DiferenciaSkew,TCH,TCL,Q2,Z2H,Z2L,Z3H,Z3L,Q3,TVH,TVL,EMH,EML,ExpRange
2025-01-02,21269.0,21490.5,20983.75,21167.5,658867,506.75,-0.2779544437377823,21598.0,20926.75,21269.0,671.25,49.01303538175046,50.98696461824953,50.98696461824953,0.9869646182495302,21514.09375,21491.27125,21426.885625000003,21362.5,21339.75,21185.0,21162.25,21086.453125,21010.65625,20968.703125,21598.0,20926.75,671.25
2025-01-03,21186.75,21559.25,21144.0,21516.5,479422,415.25,1.648753986063545,21515.75,20909.25,21186.75,606.5,54.24567188788129,45.75432811211871,54.24567188788129,4.2456718878812865,21439.9375,21419.3165,21351.28325,21283.25,21262.5,21162.5,21141.75,21063.40625,20985.0625,20947.15625,21515.75,20909.25,606.5
2025-01-06,21532.25,21896.75,21478.25,21744.5,562266,418.5,1.059651895057279,21849.75,21247.25,21532.25,602.5,52.69709543568465,47.30290456431535,52.69709543568465,2.697095435684652,21774.4375,21753.9525,21690.97625,21628.0,21607.5,21489.5,21469.0,21395.78125,21322.5625,21284.90625,21849.75,21247.25,602.5
2025-01-07,21781.25,21806.0,21279.5,21359.75,632582,526.5,-1.769412955000116,22032.75,21496.25,21781.25,536.5,46.87791239515378,53.12208760484622,53.12208760484622,3.1220876048462216,21965.6875,21947.4465,21890.22325,21833.0,21814.75,21714.25,21696.0,21629.65625,21563.3125,21529.78125,22032.75,21496.25,536.5
2025-01-08,21380.75,21448.25,21166.25,21360.75,626784,282.0,0.004681702735287452,21648.0,21083.5,21380.75,564.5,47.34278122232064,52.65721877767936,52.65721877767936,2.657218777679361,21577.4375,21558.2445,21499.37225,21440.5,21421.25,21310.25,21291.0,21222.53125,21154.0625,21118.78125,21648.0,21083.5,564.5
2025-01-09,21334.75,21360.75,21218.0,21360.75,77136,142.75,0.0,21619.25,21052.5,21334.75,566.75,50.1985002205558,49.8014997794442,50.1985002205558,0.1985002205558004,21548.40625,21529.13675,21476.943375000003,21424.75,21405.5,21266.25,21247.0,21185.171875,21123.34375,21087.921875,21619.25,21052.5,566.75
2025-01-10,21302.75,21372.5,20874.75,21016.0,691607,497.75,-1.613941458048052,21524.75,21000.75,21302.75,524.0,42.36641221374045,57.63358778625955,57.63358778625955,7.633587786259547,21459.25,21441.434,21373.717,21306.0,21288.25,21237.25,21219.5,21142.875,21066.25,21033.5,21524.75,21000.75,524.0
2025-01-13,21027.5,21037.0,20694.0,20947.25,606694,343.0,-0.3271317091739667,21249.5,20727.0,21027.5,522.5,42.48803827751196,57.51196172248804,57.51196172248804,7.511961722488039,21184.1875,21166.4225,21099.21125,21032.0,21014.25,20962.25,20944.5,20868.40625,20792.3125,20759.65625,21249.5,20727.0,522.5
2025-01-14,21020.0,21143.75,20773.5,20919.5,664463,370.25,-0.1324756232918389,21242.0,20736.0,21020.0,506.0,43.873517786561266,56.126482213438734,56.126482213438734,6.1264822134387344,21178.75,21161.546,21100.023,21038.5,21021.25,20956.75,20939.5,20869.375,20799.25,20767.625,21242.0,20736.0,506.0
2025-01-15,20977.0,21452.75,20909.0,21400.25,543896,543.75,2.29809507875427,21199.0,20690.0,20977.0,509.0,43.614931237721024,56.385068762278976,56.385068762278976,6.385068762278976,21135.375,21118.069,21055.5345,20993.0,20975.5,20913.5,20896.0,20824.8125,20753.625,20721.8125,21199.0,20690.0,509.0
2025-01-16,21389.0,21567.25,21172.25,21249.75,586335,395.0,-0.7032628123503248,21648.25,21113.75,21389.0,534.5,48.503274087932645,51.496725912067355,51.496725912067355,1.4967259120673546,21581.4375,21563.2645,21510.632250000002,21458.0,21439.75,21322.25,21304.0,21242.28125,21180.5625,21147.15625,21648.25,21113.75,534.5
2025-01-17,21227.5,21682.5,21209.25,21594.75,580295,473.25,1.623548512335438,21478.75,20953.25,21227.5,525.5,47.8116079923882,52.188392007611796,52.188392007611796,2.188392007611796,21413.0625,21395.1955,21341.59775,21288.0,21270.25,21161.75,21144.0,21081.46875,21018.9375,20986.09375,21478.75,20953.25,525.5
2025-01-20,21600.0,21778.75,21526.5,21683.0,155119,252.25,0.4086641429051019,21863.75,21325.75,21600.0,538.0,49.02416356877323,50.97583643122676,50.97583643122676,0.9758364312267602,21796.5,21778.208,21726.604,21675.0,21656.75,21532.75,21514.5,21453.75,21393.0,21359.375,21863.75,21325.75,538.0
2025-01-21,21687.25,21783.5,21377.75,21709.5,499684,405.75,0.12221556057741,21928.0,21429.75,21687.25,498.25,48.319116909182135,51.680883090817865,51.680883090817865,1.680883090817865,21865.71875,21848.77825,21799.264125,21749.75,21732.75,21625.0,21608.0,21550.015625,21492.03125,21460.890625,21928.0,21429.75,498.25
