20220615 220100;11646.25;11667.25;11646.25;11653;362
20220615 220200;11654.25;11658;11654;11654.25;132
20220615 220300;11655.25;11661.5;11655.25;11660;134
20220615 220400;11660.25;11661;11658.5;11659.5;33
20220615 220500;11659.5;11661;11657.25;11660.25;50
20220615 220600;11659.75;11661;11657.5;11660;57
20220615 220700;11659.75;11662.75;11659.5;11662.75;82
20220615 220800;11661.75;11662.25;11660.75;11661.25;71
20220615 220900;11660.75;11663.5;11660.25;11663;69
20220615 221000;11663.5;11667.75;11662.75;11666.5;98
20220615 221100;11666;11675.75;11665.25;11674.75;206
20220615 221200;11674.75;11676;11672.5;11673.75;93
20220615 221300;11673.5;11678;11673.5;11677.5;56
20220615 221400;11676.5;11679;11674.75;11676.5;85
20220615 221500;11677.5;11684.75;11676.5;11682.75;143
20220615 221600;11683.25;11694.25;11682;11692.5;306
20220615 221700;11692;11703;11691;11702.75;337
20220615 221800;11703.5;11704.5;11698.5;11703.75;214
20220615 221900;11703.75;11706.25;11701.75;11702.25;234
20220615 222000;11701.5;11708.75;11701;11707.25;249
20220615 222100;11706.25;11708.25;11703.75;11704.5;155
20220615 222200;11704.75;11705;11698.25;11699.5;224
20220615 222300;11699.25;11700.5;11697;11699;105
20220615 222400;11699;11699.25;11695.75;11696.25;63
20220615 222500;11696.5;11699.75;11696.5;11698.25;81
20220615 222600;11699.5;11702.25;11697.75;11698.5;63
20220615 222700;11698.75;11699.5;11694.25;11696.75;79
20220615 222800;11696.75;11702.5;11696.5;11702.25;58
20220615 222900;11701.75;11703.25;11700.75;11701.25;87
20220615 223000;11701.5;11702.5;11698.25;11702.25;106
20220615 223100;11703.5;11706.5;11700.25;11701;103
20220615 223200;11701.5;11702;11694.75;11696.25;122
20220615 223300;11695;11700;11695;11700;68
20220615 223400;11700.5;11703.25;11698.5;11699.75;110
20220615 223500;11700;11700.5;11697.75;11699;49
20220615 223600;11698.75;11699.25;11695;11698;68
20220615 223700;11699;11699;11691.5;11691.75;113
20220615 223800;11691.75;11697;11690;11696;209
20220615 223900;11695.25;11695.25;11694;11695.25;21
20220615 224000;11695.5;11696.25;11694.25;11694.5;32
20220615 224100;11694;11694;11687.75;11691.25;123
20220615 224200;11691.25;11692.75;11687.75;11690.75;83
20220615 224300;11689.75;11691.25;11686.5;11691.25;66
20220615 224400;11690.5;11694.25;11690.5;11691;56
20220615 224500;11691.25;11692.75;11691;11692.75;20
20220615 224600;11692.5;11692.5;11686.25;11689.25;69
20220615 224700;11689.75;11691.75;11689.75;11690.5;30
20220615 224800;11690.25;11690.25;11687.75;11688;43
20220615 224900;11688;11691.75;11685.5;11687.75;86
20220615 225000;11686.5;11687.75;11685.25;11686.5;48
20220615 225100;11686.5;11687.75;11685;11687;53
20220615 225200;11687;11687.5;11684.25;11686;50
20220615 225300;11685;11690.25;11684.5;11688.25;50
20220615 225400;11687.5;11692.75;11687.5;11690.75;127
20220615 225500;11690.25;11690.25;11680.25;11684;132
20220615 225600;11682.75;11689;11681.5;11687.5;118
20220615 225700;11687.75;11693.75;11686.5;11691.75;89
20220615 225800;11691.75;11692.75;11689.5;11690.25;42
20220615 225900;11690.25;11693;11689.5;11692.75;39
20220615 230000;11692.25;11696.25;11690.75;11695;135
20220615 230100;11695.25;11695.75;11694;11694.5;45
20220615 230200;11694.25;11694.25;11689.75;11691;32
20220615 230300;11690.75;11692.5;11690.75;11691.5;15
20220615 230400;11691.5;11692;11686.5;11688;50
20220615 230500;11688.75;11688.75;11685.75;11686.75;37
20220615 230600;11686.75;11689.25;11685.5;11687.5;33
20220615 230700;11688.75;11689;11687.25;11687.75;37
20220615 230800;11687.75;11687.75;11685.5;11686.5;19
20220615 230900;11687.25;11688.75;11686.75;11688.75;24
20220615 231000;11688;11688;11686.75;11687.75;11
20220615 231100;11687;11688;11685.75;11686;32
20220615 231200;11685.5;11686.25;11683;11685.75;67
20220615 231300;11685.25;11688.25;11685;11687.5;53
20220615 231400;11687;11687.75;11684;11686;83
20220615 231500;11686.5;11687;11681;11683.25;69
20220615 231600;11683.5;11683.5;11677.5;11679.5;134
20220615 231700;11680.25;11680.25;11677.25;11679.75;55
20220615 231800;11679;11680.25;11677.5;11678.75;33
20220615 231900;11678.75;11680;11678;11678.25;55
20220615 232000;11678.75;11680.25;11678.25;11679.25;23
20220615 232100;11678.75;11681.25;11678.5;11681.25;29
20220615 232200;11681;11684;11680.25;11682.75;41
20220615 232300;11682.5;11683.25;11682.25;11683;31
20220615 232400;11682.25;11683;11680.5;11680.5;32
20220615 232500;11681.25;11681.5;11679.5;11680;32
20220615 232600;11679.75;11681.25;11679.25;11680.5;12
20220615 232700;11681;11681;11679.25;11681;25
20220615 232800;11681;11682.75;11681;11681.25;27
20220615 232900;11682;11683.5;11681.25;11682.5;12
20220615 233000;11683;11686.5;11683;11685.5;74
20220615 233100;11686.25;11686.5;11683.5;11683.5;31
20220615 233200;11684.5;11684.75;11683.75;11683.75;8
20220615 233300;11684.25;11686.5;11684.25;11686.5;10
20220615 233400;11687;11687.5;11684.75;11686.5;39
20220615 233500;11685.75;11687.5;11685.5;11686.5;19
20220615 233600;11687;11691.5;11686.5;11689.75;75
20220615 233700;11690;11690.25;11688.25;11690.25;22
20220615 233800;11689.75;11693.25;11689.75;11692.5;101
20220615 233900;11692.5;11696;11692;11695.25;90
20220615 234000;11695;11699;11694.25;11698.75;87
20220615 234100;11698.5;11698.75;11696.5;11698.25;57
20220615 234200;11698.25;11704.25;11696;11697;164
20220615 234300;11696.75;11704.5;11696.25;11704.25;70
20220615 234400;11703.5;11708;11703;11707;107
20220615 234500;11707;11712.25;11706.25;11710.75;158
20220615 234600;11711.5;11712;11708.25;11712;84
20220615 234700;11712.25;11715.25;11709.75;11713;188
20220615 234800;11712.25;11717.25;11712.25;11717.25;135
20220615 234900;11717.25;11717.5;11711.5;11712.75;134
20220615 235000;11713;11715.5;11711.75;11714.75;94
20220615 235100;11714.75;11722.25;11714;11719.75;175
20220615 235200;11720.5;11723.5;11715.25;11717.5;208
20220615 235300;11716.75;11719;11715;11716.75;86
20220615 235400;11717.75;11720.5;11715.25;11720.25;60
20220615 235500;11720.5;11723.25;11720;11720.75;117
20220615 235600;11720.75;11721.5;11719.5;11721.25;63
20220615 235700;11720.75;11723.5;11720.25;11722.5;64
20220615 235800;11723.25;11727;11722.75;11726.75;99
20220615 235900;11727.25;11727.25;11720.5;11722.5;79
20220616 000000;11721.75;11727.25;11721.75;11726;63
20220616 000100;11725.25;11726;11716.25;11716.25;189
20220616 000200;11716.5;11716.5;11710;11710.75;183
20220616 000300;11712;11721.25;11711.5;11719.25;114
20220616 000400;11718;11720.25;11715.25;11719.75;54
20220616 000500;11719.75;11727;11719.75;11727;135
20220616 000600;11726;11727;11722;11723;85
20220616 000700;11722.75;11724.25;11718;11718;71
20220616 000800;11718;11718.25;11710.25;11712;152
20220616 000900;11712.5;11719.5;11711.25;11716.25;48
20220616 001000;11716;11724.25;11715.75;11721.75;133
20220616 001100;11720.75;11723;11716.5;11717.5;63
20220616 001200;11716.25;11718.5;11715.25;11716.25;67
20220616 001300;11716.75;11721.5;11716.75;11720.25;35
20220616 001400;11720.25;11726.75;11720;11725.5;105
20220616 001500;11725.75;11726.5;11720.25;11726.25;71
20220616 001600;11725.75;11729.5;11722.5;11726.5;164
20220616 001700;11725.5;11725.5;11718.25;11720;116
20220616 001800;11718.25;11721;11716;11720.75;143
20220616 001900;11721.25;11728.25;11721.25;11726.25;129
20220616 002000;11727;11729.5;11726.25;11728.5;135
20220616 002100;11728.5;11728.5;11722.75;11724.5;60
20220616 002200;11723.75;11726.5;11721.5;11726;74
20220616 002300;11726.5;11728.75;11723.25;11728.75;93
20220616 002400;11728.5;11733.5;11728.5;11732.25;220
20220616 002500;11732.5;11732.5;11727;11728.25;72
20220616 002600;11728;11731.75;11726.25;11726.5;96
20220616 002700;11727;11728.75;11726.25;11727;51
20220616 002800;11726.75;11732.5;11724.75;11731.75;77
20220616 002900;11732;11737.25;11732;11734;156
20220616 003000;11734;11734.25;11730.25;11731.25;38
20220616 003100;11730.25;11736.25;11729.75;11735.25;61
20220616 003200;11734.25;11738.5;11733.5;11734.75;168
20220616 003300;11735.5;11736.25;11731.75;11733;86
20220616 003400;11733;11736.5;11733;11736.5;58
20220616 003500;11736;11736;11731;11731.25;67
20220616 003600;11731.25;11732;11729.5;11731.25;89
20220616 003700;11731;11735.25;11730.5;11733.75;84
20220616 003800;11734.25;11738.5;11732.75;11738;130
20220616 003900;11738.25;11739;11731.5;11734;97
20220616 004000;11734.5;11737;11732.75;11734;53
20220616 004100;11734;11735.25;11730.75;11733.5;53
20220616 004200;11734;11735.5;11731.25;11733.75;70
20220616 004300;11733.75;11734.5;11731.25;11733.25;35
20220616 004400;11732.5;11734.5;11730;11732;63
20220616 004500;11732;11732;11730;11731.5;34
20220616 004600;11732;11732.5;11729.75;11729.75;31
20220616 004700;11730;11733.5;11729.5;11733.25;37
20220616 004800;11730.5;11733;11730.5;11731.75;36
20220616 004900;11731.25;11731.25;11729;11729.75;38
