20250918 234600;24745;24745;24742.25;24743.75;48
20250918 234700;24744.25;24748.75;24744.25;24744.5;76
20250918 234800;24744.75;24746.25;24742.75;24746.25;41
20250918 234900;24745.75;24746;24743.75;24743.75;13
20250918 235000;24743.75;24744.75;24743.5;24744.75;10
20250918 235100;24743.5;24744.25;24743;24743.25;13
20250918 235200;24743.75;24747.25;24743.75;24745;55
20250918 235300;24744.5;24746;24742.5;24745.75;95
20250918 235400;24745.25;24745.25;24743.25;24743.5;21
20250918 235500;24743.25;24743.25;24741.5;24742;29
20250918 235600;24743.25;24745.75;24743.25;24744.25;24
20250918 235700;24744.25;24746;24744.25;24746;36
20250918 235800;24746.5;24747.5;24744;24744;41
20250918 235900;24742.75;24743.5;24740.75;24742.5;37
20250919 000000;24742;24742.5;24739.75;24740;33
20250919 000100;24739.5;24743.25;24739.5;24742.25;84
20250919 000200;24742;24745;24741.75;24744.75;39
20250919 000300;24744.25;24749;24743.25;24747.25;125
20250919 000400;24748;24749;24745.75;24747;54
20250919 000500;24747.25;24747.5;24742.5;24743.75;69
20250919 000600;24744.25;24747.5;24744;24746.5;44
20250919 000700;24746.75;24746.75;24742;24744.5;39
20250919 000800;24745.75;24746.5;24744.5;24744.75;22
20250919 000900;24744.25;24744.25;24739;24739;41
20250919 001000;24739.5;24743;24737.75;24741.75;52
20250919 001100;24741.75;24741.75;24735;24738;84
20250919 001200;24738;24738.5;24733.75;24734.75;106
20250919 001300;24734.75;24736.25;24725.75;24727;226
20250919 001400;24727.5;24728.5;24724;24724;122
20250919 001500;24724.5;24727;24722.75;24722.75;87
20250919 001600;24723.25;24724.5;24721.25;24721.5;107
20250919 001700;24722.25;24725;24721.5;24723;80
20250919 001800;24724.25;24727.5;24723.75;24725;82
20250919 001900;24724.5;24724.75;24719;24721.75;106
20250919 002000;24721;24722.5;24715.5;24717.75;110
20250919 002100;24717;24717;24710.25;24712.25;122
20250919 002200;24712;24716.5;24710.25;24716;118
20250919 002300;24715.5;24720.25;24706;24706.5;297
20250919 002400;24707.5;24708.75;24702.75;24705.75;168
20250919 002500;24706.25;24708.5;24703.75;24707.25;121
20250919 002600;24707;24712.5;24706.75;24712.25;67
20250919 002700;24711.75;24711.75;24702;24703.75;199
20250919 002800;24703.75;24707.75;24701.25;24705.25;156
20250919 002900;24706.25;24709.5;24705.5;24708;78
20250919 003000;24708;24708;24705.25;24705.5;43
20250919 003100;24705;24710;24705;24707.25;103
20250919 003200;24707.25;24708.25;24703.25;24705;48
20250919 003300;24704.75;24708.75;24704.75;24707.75;46
20250919 003400;24707.75;24709.5;24706.25;24707;80
20250919 003500;24706.75;24707.25;24704.25;24706;66
20250919 003600;24705.75;24706.75;24702;24702.25;47
20250919 003700;24702;24708;24701.5;24707.25;88
20250919 003800;24706.25;24711.5;24706;24709.5;83
