DateTime,Open,High,Low,Close,Volume
2020-12-15 23:01:00,12604.0,12608.5,12601.75,12607.0,214
2020-12-15 23:02:00,12607.5,12609.5,12602.5,12605.75,166
2020-12-15 23:03:00,12605.75,12607.25,12603.75,12604.5,80
2020-12-15 23:04:00,12604.5,12605.0,12603.25,12604.5,59
2020-12-15 23:05:00,12604.0,12605.25,12602.75,12603.75,53
2020-12-15 23:06:00,12603.75,12606.5,12603.75,12605.0,47
2020-12-15 23:07:00,12604.75,12606.5,12604.75,12605.25,28
2020-12-15 23:08:00,12605.75,12606.5,12603.75,12603.75,69
2020-12-15 23:09:00,12603.75,12604.5,12603.25,12603.25,8
2020-12-15 23:10:00,12604.5,12605.25,12603.5,12605.25,41
2020-12-15 23:11:00,12605.0,12605.5,12604.25,12604.25,22
2020-12-15 23:12:00,12604.25,12604.75,12603.0,12604.0,26
2020-12-15 23:13:00,12603.75,12604.75,12603.25,12604.25,14
2020-12-15 23:14:00,12604.25,12604.5,12603.75,12603.75,6
2020-12-15 23:15:00,12604.75,12604.75,12604.0,12604.75,8
2020-12-15 23:16:00,12604.0,12605.0,12603.5,12604.25,28
2020-12-15 23:17:00,12604.0,12604.75,12602.5,12604.0,45
2020-12-15 23:18:00,12604.0,12605.25,12604.0,12605.0,10
2020-12-15 23:19:00,12604.5,12604.5,12604.0,12604.0,4
2020-12-15 23:20:00,12603.5,12604.0,12603.5,12603.5,7
2020-12-15 23:21:00,12603.25,12604.75,12603.25,12604.5,45
2020-12-15 23:22:00,12604.0,12604.0,12603.5,12604.0,14
2020-12-15 23:23:00,12604.0,12604.0,12600.25,12600.75,59
2020-12-15 23:24:00,12601.25,12601.5,12596.0,12599.0,69
2020-12-15 23:25:00,12599.0,12599.5,12596.25,12596.75,91
2020-12-15 23:26:00,12596.25,12597.5,12594.25,12594.5,63
2020-12-15 23:27:00,12594.25,12596.5,12593.75,12595.25,55
2020-12-15 23:28:00,12595.25,12597.25,12593.75,12596.5,22
2020-12-15 23:29:00,12596.5,12598.0,12595.75,12596.25,43
2020-12-15 23:30:00,12596.5,12596.5,12594.0,12595.0,52
2020-12-15 23:31:00,12594.75,12595.25,12591.5,12594.25,64
2020-12-15 23:32:00,12594.75,12596.0,12593.5,12595.25,20
2020-12-15 23:33:00,12595.0,12595.0,12593.25,12594.5,18
2020-12-15 23:34:00,12594.25,12594.75,12593.75,12594.25,11
2020-12-15 23:35:00,12594.25,12594.25,12593.0,12593.25,20
2020-12-15 23:36:00,12593.5,12595.25,12593.5,12594.75,34
2020-12-15 23:37:00,12594.5,12594.75,12592.25,12593.0,26
2020-12-15 23:38:00,12593.5,12593.75,12592.5,12593.5,10
2020-12-15 23:39:00,12593.5,12593.5,12592.5,12593.5,26
2020-12-15 23:40:00,12593.5,12594.0,12591.5,12593.75,41
2020-12-15 23:41:00,12594.0,12595.25,12593.5,12595.25,21
2020-12-15 23:42:00,12594.5,12594.5,12591.25,12592.25,49
2020-12-15 23:43:00,12592.5,12592.5,12591.25,12592.0,14
2020-12-15 23:44:00,12592.25,12592.25,12591.0,12591.75,20
2020-12-15 23:45:00,12591.75,12592.25,12590.5,12590.75,24
2020-12-15 23:46:00,12591.25,12594.5,12591.25,12593.5,28
2020-12-15 23:47:00,12594.5,12596.0,12594.0,12594.25,37
2020-12-15 23:48:00,12594.5,12594.5,12591.5,12591.5,25
2020-12-15 23:49:00,12592.25,12593.5,12592.25,12592.75,20
