Date,Open,High,Low,Close,Volume
2020-12-16,12604.0,12704.75,12572.0,12670.75,352175
2020-12-17,12681.25,12766.75,12672.0,12751.0,359961
2020-12-18,12747.5,12789.75,12610.0,12712.5,452257
2020-12-21,12760.0,12782.5,12461.0,12683.5,595910
2020-12-22,12698.25,12760.0,12593.5,12710.0,454608
2020-12-23,12704.75,12738.75,12623.5,12651.25,354492
2020-12-24,12660.75,12724.0,12631.5,12704.5,171534
2020-12-28,12676.25,12855.5,12655.25,12832.75,341704
2020-12-29,12845.25,12918.25,12808.25,12841.0,390966
2020-12-30,12860.75,12909.75,12820.5,12841.5,331621
2020-12-31,12840.0,12896.0,12796.5,12885.5,277054
2021-01-04,12889.0,12959.75,12522.5,12685.5,644065
2021-01-05,12682.75,12809.0,12612.0,12793.5,478886
2021-01-06,12800.25,12844.25,12491.25,12616.75,743824
2021-01-07,12658.5,12959.0,12646.5,12928.0,430826
2021-01-08,12927.0,13125.0,12919.0,13097.25,502729
2021-01-11,13093.25,13105.25,12871.75,12897.0,448007
2021-01-12,12910.75,12959.0,12767.25,12890.25,457113
2021-01-13,12882.5,13003.0,12820.75,12972.25,411182
2021-01-14,12975.5,13028.75,12881.0,12901.0,412876
2021-01-15,12909.0,12931.25,12743.5,12802.25,532387
2021-01-18,12774.25,12816.75,12727.0,12814.0,66738
2021-01-19,12812.0,13032.75,12810.75,12985.5,411121
2021-01-20,13030.0,13327.0,13017.0,13294.25,430922
2021-01-21,13288.5,13423.5,13283.25,13395.5,418512
2021-01-22,13394.0,13402.25,13300.25,13361.5,403927
2021-01-25,13370.0,13554.5,13189.0,13475.5,657965
2021-01-26,13459.75,13599.75,13380.25,13485.5,496447
2021-01-27,13551.0,13586.5,12884.75,13105.5,777161
2021-01-28,13052.5,13394.0,12906.25,13186.0,615791
2021-01-29,13156.0,13188.0,12829.0,12911.25,727452
2021-02-01,12849.0,13271.5,12727.25,13236.5,543230
2021-02-02,13232.5,13509.75,13230.5,13449.0,483687
2021-02-03,13506.0,13584.5,13386.75,13394.25,494279
2021-02-04,13429.5,13568.75,13345.25,13547.5,404863
2021-02-05,13560.0,13638.5,13519.5,13598.0,425642
2021-02-08,13623.75,13693.0,13596.0,13683.0,390481
2021-02-09,13683.5,13735.25,13634.0,13680.25,363942
2021-02-10,13698.0,13769.25,13516.75,13643.5,548433
2021-02-11,13662.0,13743.75,13612.5,13729.0,491500
2021-02-12,13711.25,13820.75,13646.0,13804.75,388705
2021-02-15,13829.5,13878.25,13810.0,13872.0,60606
2021-02-16,13872.5,13900.5,13716.0,13767.75,535885
2021-02-17,13758.25,13785.0,13543.0,13699.75,574282
2021-02-18,13699.5,13723.25,13468.0,13633.0,563596
2021-02-19,13638.25,13729.0,13534.75,13576.0,523110
2021-02-22,13585.0,13629.0,13215.0,13224.25,633615
2021-02-23,13227.0,13335.75,12757.25,13192.0,849721
2021-02-24,13170.75,13334.0,12958.0,13302.0,656398
2021-02-25,13304.75,13353.75,12764.0,12831.75,874287
2021-02-26,12802.5,13089.5,12662.25,12911.0,826759
2021-03-01,12957.5,13318.0,12946.25,13279.75,505368
2021-03-02,13312.25,13328.25,13048.25,13055.25,556858
