ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-05-02T00:00:00.000000000Z,33,1,9235,13433.750000000,13433.750000000,13433.750000000,13433.750000000,1,MNQU3
2023-05-02T00:02:00.000000000Z,33,1,9235,13435.000000000,13436.250000000,13435.000000000,13436.250000000,8,MNQU3
2023-05-02T00:07:00.000000000Z,33,1,9235,13442.750000000,13443.000000000,13442.750000000,13443.000000000,5,MNQU3
2023-05-02T00:20:00.000000000Z,33,1,9235,13431.000000000,13431.000000000,13428.000000000,13428.000000000,2,MNQU3
2023-05-02T00:22:00.000000000Z,33,1,9235,13423.750000000,13423.750000000,13423.750000000,13423.750000000,2,MNQU3
2023-05-02T00:23:00.000000000Z,33,1,9235,13422.250000000,13422.250000000,13419.250000000,13419.250000000,8,MNQU3
2023-05-02T00:27:00.000000000Z,33,1,9235,13422.000000000,13422.000000000,13422.000000000,13422.000000000,5,MNQU3
2023-05-02T00:29:00.000000000Z,33,1,9235,13425.750000000,13425.750000000,13425.750000000,13425.750000000,1,MNQU3
2023-05-02T00:47:00.000000000Z,33,1,9235,13425.750000000,13425.750000000,13425.750000000,13425.750000000,1,MNQU3
2023-05-02T00:49:00.000000000Z,33,1,9235,13421.500000000,13421.500000000,13421.500000000,13421.500000000,2,MNQU3
2023-05-02T00:58:00.000000000Z,33,1,9235,13425.750000000,13425.750000000,13425.750000000,13425.750000000,2,MNQU3
2023-05-02T01:18:00.000000000Z,33,1,9235,13430.250000000,13430.250000000,13430.250000000,13430.250000000,1,MNQU3
2023-05-02T01:21:00.000000000Z,33,1,9235,13441.250000000,13441.250000000,13441.250000000,13441.250000000,1,MNQU3
2023-05-02T01:22:00.000000000Z,33,1,9235,13441.250000000,13441.250000000,13441.250000000,13441.250000000,1,MNQU3
2023-05-02T01:24:00.000000000Z,33,1,9235,13440.500000000,13440.500000000,13440.500000000,13440.500000000,1,MNQU3
2023-05-02T01:26:00.000000000Z,33,1,9235,13440.500000000,13440.500000000,13440.500000000,13440.500000000,2,MNQU3
2023-05-02T01:29:00.000000000Z,33,1,9235,13441.000000000,13441.000000000,13441.000000000,13441.000000000,1,MNQU3
2023-05-02T01:36:00.000000000Z,33,1,9235,13446.000000000,13446.000000000,13446.000000000,13446.000000000,1,MNQU3
2023-05-02T01:38:00.000000000Z,33,1,9235,13450.250000000,13450.250000000,13450.250000000,13450.250000000,2,MNQU3
2023-05-02T01:39:00.000000000Z,33,1,9235,13451.500000000,13451.500000000,13451.500000000,13451.500000000,1,MNQU3
2023-05-02T01:41:00.000000000Z,33,1,9235,13450.500000000,13450.500000000,13450.500000000,13450.500000000,1,MNQU3
2023-05-02T01:47:00.000000000Z,33,1,9235,13443.500000000,13443.500000000,13443.500000000,13443.500000000,1,MNQU3
2023-05-02T01:50:00.000000000Z,33,1,9235,13436.750000000,13436.750000000,13435.500000000,13435.500000000,8,MNQU3
2023-05-02T01:51:00.000000000Z,33,1,9235,13435.250000000,13435.250000000,13435.250000000,13435.250000000,2,MNQU3
2023-05-02T01:59:00.000000000Z,33,1,9235,13439.250000000,13439.250000000,13439.250000000,13439.250000000,1,MNQU3
2023-05-02T02:08:00.000000000Z,33,1,9235,13433.500000000,13433.500000000,13433.500000000,13433.500000000,1,MNQU3
2023-05-02T02:09:00.000000000Z,33,1,9235,13433.250000000,13433.250000000,13433.250000000,13433.250000000,1,MNQU3
2023-05-02T02:11:00.000000000Z,33,1,9235,13432.000000000,13432.000000000,13432.000000000,13432.000000000,1,MNQU3
2023-05-02T03:48:00.000000000Z,33,1,9235,13446.250000000,13446.250000000,13446.250000000,13446.250000000,1,MNQU3
2023-05-02T04:23:00.000000000Z,33,1,9235,13446.250000000,13447.000000000,13446.250000000,13447.000000000,5,MNQU3
2023-05-02T04:26:00.000000000Z,33,1,9235,13447.000000000,13447.000000000,13447.000000000,13447.000000000,1,MNQU3
2023-05-02T04:32:00.000000000Z,33,1,9235,13449.000000000,13449.000000000,13449.000000000,13449.000000000,1,MNQU3
2023-05-02T04:36:00.000000000Z,33,1,9235,13448.250000000,13448.250000000,13447.750000000,13447.750000000,4,MNQU3
2023-05-02T04:38:00.000000000Z,33,1,9235,13454.000000000,13454.000000000,13454.000000000,13454.000000000,1,MNQU3
2023-05-02T04:39:00.000000000Z,33,1,9235,13454.250000000,13454.250000000,13454.250000000,13454.250000000,1,MNQU3
2023-05-02T05:02:00.000000000Z,33,1,9235,13450.000000000,13450.000000000,13450.000000000,13450.000000000,1,MNQU3
2023-05-02T05:11:00.000000000Z,33,1,9235,13455.000000000,13455.000000000,13455.000000000,13455.000000000,1,MNQU3
2023-05-02T05:18:00.000000000Z,33,1,9235,13455.500000000,13455.500000000,13455.500000000,13455.500000000,3,MNQU3
2023-05-02T05:29:00.000000000Z,33,1,9235,13460.000000000,13460.000000000,13460.000000000,13460.000000000,2,MNQU3
2023-05-02T05:30:00.000000000Z,33,1,9235,13462.000000000,13462.000000000,13462.000000000,13462.000000000,1,MNQU3
2023-05-02T06:00:00.000000000Z,33,1,9235,13453.500000000,13453.500000000,13453.500000000,13453.500000000,1,MNQU3
2023-05-02T06:09:00.000000000Z,33,1,9235,13458.750000000,13459.000000000,13458.750000000,13459.000000000,2,MNQU3
2023-05-02T06:15:00.000000000Z,33,1,9235,13461.250000000,13461.250000000,13461.250000000,13461.250000000,1,MNQU3
2023-05-02T06:21:00.000000000Z,33,1,9235,13457.500000000,13457.500000000,13457.250000000,13457.250000000,4,MNQU3
2023-05-02T06:23:00.000000000Z,33,1,9235,13460.000000000,13460.000000000,13460.000000000,13460.000000000,1,MNQU3
2023-05-02T06:27:00.000000000Z,33,1,9235,13462.000000000,13462.000000000,13460.000000000,13460.000000000,21,MNQU3
2023-05-02T06:42:00.000000000Z,33,1,9235,13467.250000000,13467.250000000,13467.250000000,13467.250000000,1,MNQU3
2023-05-02T06:43:00.000000000Z,33,1,9235,13468.750000000,13470.000000000,13468.750000000,13470.000000000,2,MNQU3
2023-05-02T06:44:00.000000000Z,33,1,9235,13470.000000000,13470.000000000,13470.000000000,13470.000000000,1,MNQU3
2023-05-02T06:49:00.000000000Z,33,1,9235,13472.500000000,13472.500000000,13472.500000000,13472.500000000,1,MNQU3
2023-05-02T06:51:00.000000000Z,33,1,9235,13472.750000000,13473.250000000,13471.500000000,13471.500000000,3,MNQU3
2023-05-02T07:00:00.000000000Z,33,1,9235,13471.000000000,13471.000000000,13471.000000000,13471.000000000,1,MNQU3
2023-05-02T07:02:00.000000000Z,33,1,9235,13475.000000000,13475.000000000,13475.000000000,13475.000000000,2,MNQU3
2023-05-02T07:05:00.000000000Z,33,1,9235,13478.000000000,13478.000000000,13478.000000000,13478.000000000,1,MNQU3
2023-05-02T07:08:00.000000000Z,33,1,9235,13481.000000000,13481.000000000,13481.000000000,13481.000000000,1,MNQU3
2023-05-02T07:12:00.000000000Z,33,1,9235,13477.750000000,13477.750000000,13477.750000000,13477.750000000,2,MNQU3
2023-05-02T07:13:00.000000000Z,33,1,9235,13471.000000000,13471.000000000,13469.250000000,13469.250000000,5,MNQU3
2023-05-02T07:19:00.000000000Z,33,1,9235,13462.250000000,13462.250000000,13462.250000000,13462.250000000,1,MNQU3
2023-05-02T07:21:00.000000000Z,33,1,9235,13460.000000000,13460.000000000,13460.000000000,13460.000000000,1,MNQU3
2023-05-02T07:23:00.000000000Z,33,1,9235,13459.000000000,13459.000000000,13459.000000000,13459.000000000,1,MNQU3
2023-05-02T07:26:00.000000000Z,33,1,9235,13459.000000000,13459.750000000,13459.000000000,13459.750000000,2,MNQU3
2023-05-02T07:27:00.000000000Z,33,1,9235,13462.500000000,13462.500000000,13462.500000000,13462.500000000,1,MNQU3
2023-05-02T07:31:00.000000000Z,33,1,9235,13457.250000000,13457.250000000,13457.250000000,13457.250000000,1,MNQU3
2023-05-02T07:32:00.000000000Z,33,1,9235,13455.000000000,13455.000000000,13455.000000000,13455.000000000,1,MNQU3
2023-05-02T07:35:00.000000000Z,33,1,9235,13453.750000000,13453.750000000,13453.500000000,13453.500000000,2,MNQU3
2023-05-02T07:36:00.000000000Z,33,1,9235,13451.500000000,13451.500000000,13451.500000000,13451.500000000,3,MNQU3
2023-05-02T07:42:00.000000000Z,33,1,9235,13459.000000000,13459.000000000,13459.000000000,13459.000000000,1,MNQU3
2023-05-02T08:01:00.000000000Z,33,1,9235,13456.000000000,13456.000000000,13456.000000000,13456.000000000,1,MNQU3
2023-05-02T08:03:00.000000000Z,33,1,9235,13456.000000000,13456.000000000,13456.000000000,13456.000000000,1,MNQU3
2023-05-02T08:05:00.000000000Z,33,1,9235,13460.250000000,13460.250000000,13460.250000000,13460.250000000,1,MNQU3
2023-05-02T08:10:00.000000000Z,33,1,9235,13465.000000000,13465.000000000,13465.000000000,13465.000000000,1,MNQU3
2023-05-02T08:13:00.000000000Z,33,1,9235,13465.250000000,13465.250000000,13465.250000000,13465.250000000,1,MNQU3
2023-05-02T08:40:00.000000000Z,33,1,9235,13465.250000000,13465.250000000,13465.250000000,13465.250000000,1,MNQU3
2023-05-02T08:47:00.000000000Z,33,1,9235,13460.500000000,13460.500000000,13460.500000000,13460.500000000,1,MNQU3
