ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-03-14T00:03:00.000000000Z,33,1,27299,250.450000000,250.450000000,250.450000000,250.450000000,3,MNQH4-MNQM4
2024-03-14T00:05:00.000000000Z,33,1,27299,250.300000000,250.300000000,250.300000000,250.300000000,4,MNQH4-MNQM4
2024-03-14T00:07:00.000000000Z,33,1,27299,250.450000000,250.450000000,250.450000000,250.450000000,1,MNQH4-MNQM4
2024-03-14T00:08:00.000000000Z,33,1,27299,250.450000000,250.450000000,250.450000000,250.450000000,3,MNQH4-MNQM4
2024-03-14T00:21:00.000000000Z,33,1,27299,250.700000000,250.700000000,250.700000000,250.700000000,1,MNQH4-MNQM4
2024-03-14T00:25:00.000000000Z,33,1,27299,249.850000000,249.850000000,249.850000000,249.850000000,2,MNQH4-MNQM4
2024-03-14T00:31:00.000000000Z,33,1,27299,249.150000000,249.150000000,249.100000000,249.100000000,5,MNQH4-MNQM4
2024-03-14T00:50:00.000000000Z,33,1,27299,249.100000000,249.100000000,249.100000000,249.100000000,1,MNQH4-MNQM4
2024-03-14T00:59:00.000000000Z,33,1,27299,248.700000000,248.700000000,248.700000000,248.700000000,40,MNQH4-MNQM4
2024-03-14T01:15:00.000000000Z,33,1,27299,248.500000000,248.500000000,248.500000000,248.500000000,2,MNQH4-MNQM4
2024-03-14T01:20:00.000000000Z,33,1,27299,249.050000000,249.100000000,249.050000000,249.100000000,3,MNQH4-MNQM4
2024-03-14T01:21:00.000000000Z,33,1,27299,249.100000000,249.100000000,249.100000000,249.100000000,2,MNQH4-MNQM4
2024-03-14T01:23:00.000000000Z,33,1,27299,249.000000000,249.300000000,249.000000000,249.300000000,47,MNQH4-MNQM4
2024-03-14T01:29:00.000000000Z,33,1,27299,249.000000000,249.500000000,249.000000000,249.500000000,3,MNQH4-MNQM4
2024-03-14T01:33:00.000000000Z,33,1,27299,249.600000000,249.600000000,249.600000000,249.600000000,1,MNQH4-MNQM4
2024-03-14T01:45:00.000000000Z,33,1,27299,249.700000000,249.700000000,249.700000000,249.700000000,1,MNQH4-MNQM4
2024-03-14T01:54:00.000000000Z,33,1,27299,250.100000000,250.100000000,250.100000000,250.100000000,4,MNQH4-MNQM4
2024-03-14T02:09:00.000000000Z,33,1,27299,250.100000000,250.100000000,250.100000000,250.100000000,14,MNQH4-MNQM4
2024-03-14T02:18:00.000000000Z,33,1,27299,250.100000000,250.100000000,250.100000000,250.100000000,3,MNQH4-MNQM4
2024-03-14T02:26:00.000000000Z,33,1,27299,250.100000000,250.100000000,250.100000000,250.100000000,1,MNQH4-MNQM4
2024-03-14T02:44:00.000000000Z,33,1,27299,250.250000000,250.250000000,250.250000000,250.250000000,1,MNQH4-MNQM4
2024-03-14T02:54:00.000000000Z,33,1,27299,250.200000000,250.200000000,250.200000000,250.200000000,100,MNQH4-MNQM4
2024-03-14T02:57:00.000000000Z,33,1,27299,250.250000000,250.250000000,250.250000000,250.250000000,4,MNQH4-MNQM4
2024-03-14T02:58:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,7,MNQH4-MNQM4
2024-03-14T03:01:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,1,MNQH4-MNQM4
2024-03-14T03:08:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,40,MNQH4-MNQM4
2024-03-14T03:10:00.000000000Z,33,1,27299,250.200000000,250.200000000,250.200000000,250.200000000,1,MNQH4-MNQM4
2024-03-14T03:14:00.000000000Z,33,1,27299,250.350000000,250.350000000,250.350000000,250.350000000,2,MNQH4-MNQM4
2024-03-14T03:27:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,10,MNQH4-MNQM4
2024-03-14T03:31:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,1,MNQH4-MNQM4
2024-03-14T03:35:00.000000000Z,33,1,27299,250.150000000,250.150000000,250.150000000,250.150000000,40,MNQH4-MNQM4
2024-03-14T03:49:00.000000000Z,33,1,27299,250.350000000,250.350000000,250.350000000,250.350000000,20,MNQH4-MNQM4
2024-03-14T04:08:00.000000000Z,33,1,27299,250.350000000,250.350000000,250.350000000,250.350000000,2,MNQH4-MNQM4
2024-03-14T04:30:00.000000000Z,33,1,27299,250.450000000,250.450000000,250.450000000,250.450000000,44,MNQH4-MNQM4
2024-03-14T04:33:00.000000000Z,33,1,27299,250.350000000,250.350000000,250.300000000,250.300000000,78,MNQH4-MNQM4
2024-03-14T04:37:00.000000000Z,33,1,27299,250.400000000,250.450000000,250.400000000,250.450000000,56,MNQH4-MNQM4
2024-03-14T05:07:00.000000000Z,33,1,27299,249.900000000,249.900000000,249.900000000,249.900000000,1,MNQH4-MNQM4
2024-03-14T05:26:00.000000000Z,33,1,27299,249.900000000,249.900000000,249.900000000,249.900000000,5,MNQH4-MNQM4
2024-03-14T05:29:00.000000000Z,33,1,27299,250.200000000,250.200000000,250.200000000,250.200000000,1,MNQH4-MNQM4
2024-03-14T06:12:00.000000000Z,33,1,27299,250.400000000,250.400000000,250.400000000,250.400000000,4,MNQH4-MNQM4
2024-03-14T06:16:00.000000000Z,33,1,27299,250.000000000,250.000000000,250.000000000,250.000000000,4,MNQH4-MNQM4
2024-03-14T06:17:00.000000000Z,33,1,27299,249.950000000,249.950000000,249.950000000,249.950000000,21,MNQH4-MNQM4
2024-03-14T06:21:00.000000000Z,33,1,27299,249.700000000,249.700000000,249.700000000,249.700000000,1,MNQH4-MNQM4
2024-03-14T06:26:00.000000000Z,33,1,27299,249.700000000,249.700000000,249.700000000,249.700000000,4,MNQH4-MNQM4
2024-03-14T06:30:00.000000000Z,33,1,27299,249.300000000,249.300000000,249.300000000,249.300000000,1,MNQH4-MNQM4
2024-03-14T06:31:00.000000000Z,33,1,27299,249.300000000,249.300000000,249.300000000,249.300000000,1,MNQH4-MNQM4
2024-03-14T06:48:00.000000000Z,33,1,27299,249.300000000,249.300000000,249.300000000,249.300000000,4,MNQH4-MNQM4
2024-03-14T06:50:00.000000000Z,33,1,27299,249.350000000,249.350000000,249.350000000,249.350000000,4,MNQH4-MNQM4
