ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-02-21T00:40:00.000000000Z,33,1,42003472,22609.000000000,22609.000000000,22609.000000000,22609.000000000,5,MNQU5
2025-02-21T00:43:00.000000000Z,33,1,42003472,22609.000000000,22609.000000000,22609.000000000,22609.000000000,5,MNQU5
2025-02-21T00:44:00.000000000Z,33,1,42003472,22609.000000000,22609.000000000,22609.000000000,22609.000000000,1,MNQU5
2025-02-21T01:03:00.000000000Z,33,1,42003472,22616.000000000,22616.000000000,22616.000000000,22616.000000000,1,MNQU5
2025-02-21T01:25:00.000000000Z,33,1,42003472,22614.250000000,22614.250000000,22614.250000000,22614.250000000,1,MNQU5
2025-02-21T03:12:00.000000000Z,33,1,42003472,22603.000000000,22603.000000000,22603.000000000,22603.000000000,7,MNQU5
2025-02-21T03:19:00.000000000Z,33,1,42003472,22615.000000000,22615.000000000,22615.000000000,22615.000000000,1,MNQU5
2025-02-21T03:20:00.000000000Z,33,1,42003472,22607.000000000,22607.000000000,22607.000000000,22607.000000000,1,MNQU5
2025-02-21T03:21:00.000000000Z,33,1,42003472,22636.250000000,22636.250000000,22636.250000000,22636.250000000,2,MNQU5
2025-02-21T04:20:00.000000000Z,33,1,42003472,22622.500000000,22622.500000000,22622.500000000,22622.500000000,1,MNQU5
2025-02-21T04:22:00.000000000Z,33,1,42003472,22622.500000000,22622.500000000,22622.500000000,22622.500000000,2,MNQU5
2025-02-21T04:25:00.000000000Z,33,1,42003472,22618.500000000,22618.500000000,22618.500000000,22618.500000000,1,MNQU5
2025-02-21T04:36:00.000000000Z,33,1,42003472,22614.500000000,22614.500000000,22614.500000000,22614.500000000,1,MNQU5
2025-02-21T04:48:00.000000000Z,33,1,42003472,22610.500000000,22610.500000000,22610.500000000,22610.500000000,1,MNQU5
2025-02-21T04:50:00.000000000Z,33,1,42003472,22610.000000000,22610.000000000,22610.000000000,22610.000000000,1,MNQU5
2025-02-21T05:01:00.000000000Z,33,1,42003472,22607.000000000,22607.000000000,22607.000000000,22607.000000000,1,MNQU5
2025-02-21T05:12:00.000000000Z,33,1,42003472,22600.000000000,22600.000000000,22600.000000000,22600.000000000,1,MNQU5
2025-02-21T05:43:00.000000000Z,33,1,42003472,22611.750000000,22611.750000000,22611.750000000,22611.750000000,1,MNQU5
2025-02-21T05:52:00.000000000Z,33,1,42003472,22607.250000000,22607.250000000,22607.250000000,22607.250000000,8,MNQU5
2025-02-21T05:53:00.000000000Z,33,1,42003472,22607.250000000,22607.250000000,22607.250000000,22607.250000000,3,MNQU5
2025-02-21T07:28:00.000000000Z,33,1,42003472,22615.750000000,22615.750000000,22615.750000000,22615.750000000,1,MNQU5
2025-02-21T08:05:00.000000000Z,33,1,42003472,22599.000000000,22599.000000000,22599.000000000,22599.000000000,1,MNQU5
2025-02-21T08:06:00.000000000Z,33,1,42003472,22610.000000000,22610.000000000,22610.000000000,22610.000000000,1,MNQU5
2025-02-21T08:15:00.000000000Z,33,1,42003472,22599.000000000,22599.000000000,22593.000000000,22593.000000000,2,MNQU5
2025-02-21T08:18:00.000000000Z,33,1,42003472,22599.000000000,22599.000000000,22599.000000000,22599.000000000,1,MNQU5
2025-02-21T08:21:00.000000000Z,33,1,42003472,22590.000000000,22590.000000000,22590.000000000,22590.000000000,1,MNQU5
2025-02-21T08:26:00.000000000Z,33,1,42003472,22599.000000000,22599.000000000,22599.000000000,22599.000000000,1,MNQU5
2025-02-21T08:56:00.000000000Z,33,1,42003472,22620.000000000,22620.000000000,22620.000000000,22620.000000000,1,MNQU5
2025-02-21T11:12:00.000000000Z,33,1,42003472,22631.000000000,22631.000000000,22631.000000000,22631.000000000,1,MNQU5
2025-02-21T11:13:00.000000000Z,33,1,42003472,22631.000000000,22631.000000000,22631.000000000,22631.000000000,1,MNQU5
2025-02-21T11:14:00.000000000Z,33,1,42003472,22631.000000000,22631.000000000,22631.000000000,22631.000000000,1,MNQU5
2025-02-21T12:16:00.000000000Z,33,1,42003472,22655.000000000,22655.000000000,22644.750000000,22644.750000000,3,MNQU5
2025-02-21T12:20:00.000000000Z,33,1,42003472,22652.750000000,22670.000000000,22652.750000000,22670.000000000,4,MNQU5
2025-02-21T12:21:00.000000000Z,33,1,42003472,22656.750000000,22656.750000000,22656.750000000,22656.750000000,1,MNQU5
2025-02-21T12:32:00.000000000Z,33,1,42003472,22665.000000000,22665.000000000,22665.000000000,22665.000000000,3,MNQU5
2025-02-21T12:42:00.000000000Z,33,1,42003472,22685.000000000,22685.000000000,22685.000000000,22685.000000000,1,MNQU5
2025-02-21T12:43:00.000000000Z,33,1,42003472,22674.000000000,22674.000000000,22674.000000000,22674.000000000,1,MNQU5
2025-02-21T13:08:00.000000000Z,33,1,42003472,22680.000000000,22680.000000000,22680.000000000,22680.000000000,1,MNQU5
2025-02-21T13:09:00.000000000Z,33,1,42003472,22667.750000000,22667.750000000,22667.750000000,22667.750000000,1,MNQU5
