ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-01T00:00:00.000000000Z,33,1,42008411,20247.000000000,20257.000000000,20246.000000000,20255.750000000,646,MNQZ4
2024-10-01T00:01:00.000000000Z,33,1,42008411,20255.000000000,20255.000000000,20246.000000000,20247.500000000,364,MNQZ4
2024-10-01T00:02:00.000000000Z,33,1,42008411,20247.250000000,20247.250000000,20233.750000000,20240.250000000,738,MNQZ4
2024-10-01T00:03:00.000000000Z,33,1,42008411,20240.000000000,20246.500000000,20239.500000000,20244.750000000,305,MNQZ4
2024-10-01T00:04:00.000000000Z,33,1,42008411,20244.500000000,20245.250000000,20241.250000000,20242.000000000,122,MNQZ4
2024-10-01T00:05:00.000000000Z,33,1,42008411,20242.500000000,20250.000000000,20241.250000000,20249.000000000,294,MNQZ4
2024-10-01T00:06:00.000000000Z,33,1,42008411,20249.000000000,20249.750000000,20244.750000000,20245.750000000,194,MNQZ4
2024-10-01T00:07:00.000000000Z,33,1,42008411,20246.000000000,20247.250000000,20243.000000000,20246.500000000,116,MNQZ4
2024-10-01T00:08:00.000000000Z,33,1,42008411,20247.250000000,20248.000000000,20245.250000000,20246.250000000,120,MNQZ4
2024-10-01T00:09:00.000000000Z,33,1,42008411,20246.750000000,20253.000000000,20246.750000000,20252.500000000,141,MNQZ4
2024-10-01T00:10:00.000000000Z,33,1,42008411,20252.750000000,20256.250000000,20251.500000000,20253.750000000,378,MNQZ4
2024-10-01T00:11:00.000000000Z,33,1,42008411,20253.500000000,20255.750000000,20250.750000000,20251.750000000,231,MNQZ4
2024-10-01T00:12:00.000000000Z,33,1,42008411,20251.250000000,20252.500000000,20250.250000000,20250.250000000,139,MNQZ4
2024-10-01T00:13:00.000000000Z,33,1,42008411,20250.500000000,20253.000000000,20246.250000000,20248.750000000,329,MNQZ4
2024-10-01T00:14:00.000000000Z,33,1,42008411,20249.500000000,20249.500000000,20242.750000000,20243.250000000,237,MNQZ4
